ticker,n_days,cum_ON,cum_ID,sum_logON,sum_logID,diff_log,ann_ON_pct,ann_ID_pct,ann_diff_log,mean_ON_bps,mean_ID_bps,vol_ON,vol_ID,vol_close2close,name,sector,sub_industry,market_cap,beta
APA,2626,11.311384538252394,-0.9175327955539604,2.5105244065161747,-2.4953545865404503,5.0058789930566245,27.241741117239084,-21.29494618122933,0.48038138090261595,12.009623606495103,-5.165474292995428,0.34750673824354394,0.46447332126593344,0.58434232407517,APA Corporation,Energy,Oil & Gas Exploration & Production,12309601280,0.327
DAL,2626,9.592761314684338,-0.8087739288457472,2.36017087299803,-1.6542989322511181,4.014469805249148,25.419022070189634,-14.67922597983103,0.38524234231636917,10.522023472083557,-4.131216052757802,0.27957132959894715,0.3293271478290961,0.41838154721205323,Delta Air Lines,Industrials,Passenger Airlines,57355612160,1.313
NCLH,2626,3.407636237793942,-0.9199135649920982,1.4833385452588956,-2.5246487899621117,4.007987335221007,15.297582404135676,-21.51588897278048,0.38462026217657797,8.526620927101172,-5.206620364466751,0.3873207264389512,0.4686344489787355,0.613633492523689,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",9393392640,1.908
AMD,2626,99.26697582939515,0.9694171831084886,4.607836386807693,0.6777376528409722,3.9300987339667213,55.61017912319848,6.719961804702934,0.3771458038688552,19.89410447882774,6.949136686649234,0.34635667752901494,0.4712758751200225,0.5990124240615962,Advanced Micro Devices,Information Technology,Semiconductors,892517351424,2.492
WYNN,2626,7.845540589031362,-0.7943722430040178,2.17991344378045,-1.5816877496691895,3.7616011934496396,23.26816487316506,-14.082633080107371,0.36097619982837365,9.867914629439552,-3.5383024105349867,0.2814230823282609,0.3539423091987527,0.4746193781005441,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,11447675904,0.984
MGM,2626,8.967265371788107,-0.7641140902367561,2.2993062606723265,-1.4444070240546276,3.743713284726954,24.688612595946484,-12.943275181975721,0.359259614528253,10.335036239652107,-2.9233712551348887,0.28538442594745406,0.358623246087089,0.4557789770285095,MGM Resorts,Consumer Discretionary,Casinos & Gaming,12635212800,1.311
UAL,2626,8.433323864507166,-0.7644052140572393,2.2442485122180873,-1.445641958422601,3.6898904706406883,24.031553760150402,-12.953591537180865,0.35409459200359994,10.494962166199665,-2.220577839493972,0.3163925425306235,0.40514341571538237,0.5137905468425641,United Airlines Holdings,Industrials,Passenger Airlines,39957778432,1.291
MU,2626,51.24218758346373,0.4537621771933644,3.9558903597319923,0.3741548012169377,3.5817355585150548,46.17302796510134,3.655755829618501,0.3437156743129451,17.054485687938808,4.33622427335322,0.3170049376277662,0.3831087930169272,0.5051185541934339,Micron Technology,Information Technology,Semiconductors,1193644392448,2.173
DVN,2626,7.207661607617444,-0.7619156938867789,2.1050680604364276,-1.4351304406678889,3.5401985011043164,22.385972990500655,-12.865741659014516,0.3397296352925696,9.869044632312853,-2.2423546792123683,0.3007243212296894,0.4035242256358248,0.5094999086992574,Devon Energy,Energy,Oil & Gas Exploration & Production,50501754880,0.419
LITE,2626,35.269707264528584,0.2183644279116593,3.59098288225393,0.19750932643365782,3.3934735558202718,41.14295828986745,1.9134436009053932,0.3256494044427679,15.824791124976176,4.912889244442926,0.32784291990238307,0.45793150765224605,0.5597743371509512,Lumentum,Information Technology,Communications Equipment,75178139648,1.479
OXY,2626,3.9844509579549694,-0.7847921480647776,1.6063232585225933,-1.5361509646722944,3.1424742231948875,16.66639014661605,-13.706364120039874,0.30156264441931135,8.044212069786122,-3.1467081377812915,0.3019885767553799,0.3697378481819573,0.48159744408475136,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,53561077760,0.124
AVGO,2626,27.941396957193668,0.2533487534703329,3.3652729908466905,0.22581897195880604,3.1394540188878843,38.11868712229938,2.190687362348871,0.3012728152169638,14.029343281684817,2.643023901664688,0.2467977947313015,0.3002741422476646,0.3930086342550422,Broadcom,Information Technology,Semiconductors,1870680686592,1.433
NVDA,2626,74.21259175446623,2.5433098564375856,4.320318660482123,1.2650612780111872,3.0552573824709355,51.37539894380729,12.907604075746429,0.29319301613963283,18.26326594390538,7.842483582533204,0.3016567165742177,0.3906149755094048,0.4945436930535901,Nvidia,Information Technology,Semiconductors,5080839356416,2.202
LVS,2626,4.348223925941799,-0.7165001514064631,1.676764529332055,-1.2605436898760711,2.937308219208126,17.457701610678367,-11.393601389071781,0.2818742083931637,7.585438506045429,-3.085680705010378,0.2454650947431301,0.2936329277418285,0.38867445950615365,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,33267707904,0.811
AMZN,2626,10.839234145041225,-0.34710374850302966,2.4714189436679366,-0.42633704211868145,2.897755985786618,26.765136527616217,-4.008714072248278,0.27807863991554754,10.397066824604025,-0.32417212001323786,0.222469998638595,0.25597809840158275,0.32713663468445675,Amazon,Consumer Discretionary,Broadline Retail,2659641458688,1.444
FANG,2626,7.1285984331431305,-0.5510948296834437,2.095388514250749,-0.8009436155137397,2.8963321297644886,22.272343575274594,-7.3981722668320815,0.2779420017900423,9.742820426574811,-0.10343056383102713,0.28713089675014536,0.3856354117079235,0.4877589931332244,Diamondback Energy,Energy,Oil & Gas Exploration & Production,51962785792,0.391
AXON,2626,20.720264190150147,0.2019177605147065,3.078245658442504,0.18391841489938165,2.894327243543122,34.366244053534615,1.7806116039585305,0.277749606006423,13.26312271756422,3.764608588306774,0.2814733103356082,0.3920427226623164,0.4888025131470641,Axon Enterprise,Industrials,Aerospace & Defense,35965444096,1.422
TRGP,2626,15.180120297513838,0.00028711207454424535,2.783783346554118,0.0002870708657600751,2.783496275688358,30.622517674838424,0.0027548687977381196,0.267113884795684,11.967694298012427,3.594905007047229,0.2614429085466981,0.4179376438913907,0.5033051333549081,Targa Resources,Energy,Oil & Gas Storage & Transportation,57007271936,0.71
FSLR,2626,6.974602480463305,-0.4938499129548073,2.076261801718639,-0.6809220389622994,2.7571838406809386,22.0481227840548,-6.325447917492168,0.26458885295186463,9.563649738059516,0.8779569304823124,0.2866813584454143,0.4192248584204397,0.5051675755820757,First Solar,Information Technology,Semiconductors,28733028352,1.692
SPG,2626,4.447520899516737,-0.6434032326283721,1.6951606243628694,-1.0311496387326378,2.726310263095507,17.665239004950188,-9.42144213112628,0.26162611816453457,7.212723349065041,-2.2708786063405357,0.19639475441657467,0.2870663114197384,0.36512245396670306,Simon Property Group,Real Estate,Retail REITs,83048341504,1.346
